Release, Total, TP, FN, TN, FOR, noise, Recall, Total Releases,Relative,Project
5,747.0,300.0,6.0,441.0,0.013422818791946308,0.008032128514056224,0.9803921568627451,13,0.3333333333333333,TAJO
6,788.0,347.0,0.0,441.0,0.0,0.0,1.0,13,0.4166666666666667,TAJO
7,796.0,355.0,0.0,441.0,0.0,0.0,1.0,13,0.5,TAJO
8,808.0,367.0,0.0,441.0,0.0,0.0,1.0,13,0.5833333333333334,TAJO
9,808.0,367.0,0.0,441.0,0.0,0.0,1.0,13,0.6666666666666666,TAJO
10,809.0,368.0,0.0,441.0,0.0,0.0,1.0,13,0.75,TAJO
11,809.0,368.0,0.0,441.0,0.0,0.0,1.0,13,0.8333333333333334,TAJO
12,809.0,368.0,0.0,441.0,0.0,0.0,1.0,13,0.9166666666666666,TAJO
13,824.0,383.0,0.0,441.0,0.0,0.0,1.0,13,1.0,TAJO
2,0.0,0.0,0.0,0.0,/0,/0,/0,34,0.030303030303030307,TEZ
3,526.0,16.0,170.0,340.0,0.3333333333333333,0.3231939163498099,0.08602150537634409,34,0.060606060606060615,TEZ
4,1052.0,96.0,285.0,671.0,0.29811715481171547,0.2709125475285171,0.25196850393700787,34,0.09090909090909093,TEZ
5,1055.0,173.0,211.0,671.0,0.23922902494331066,0.2,0.4505208333333333,34,0.12121212121212123,TEZ
6,1069.0,259.0,139.0,671.0,0.17160493827160495,0.13002806361085126,0.6507537688442211,34,0.15151515151515152,TEZ
7,1069.0,261.0,137.0,671.0,0.16955445544554457,0.12815715622076707,0.6557788944723618,34,0.18181818181818185,TEZ
8,1071.0,281.0,119.0,671.0,0.15063291139240506,0.1111111111111111,0.7025,34,0.21212121212121213,TEZ
9,1075.0,293.0,111.0,671.0,0.14194373401534527,0.10325581395348837,0.7252475247524752,34,0.24242424242424246,TEZ
10,1087.0,329.0,87.0,671.0,0.11477572559366754,0.08003679852805888,0.7908653846153846,34,0.2727272727272727,TEZ
11,1087.0,329.0,87.0,671.0,0.11477572559366754,0.08003679852805888,0.7908653846153846,34,0.30303030303030304,TEZ
12,1089.0,347.0,71.0,671.0,0.09568733153638814,0.06519742883379247,0.8301435406698564,34,0.3333333333333333,TEZ
13,1089.0,347.0,71.0,671.0,0.09568733153638814,0.06519742883379247,0.8301435406698564,34,0.3636363636363637,TEZ
14,1095.0,363.0,61.0,671.0,0.08333333333333333,0.05570776255707763,0.8561320754716981,34,0.3939393939393939,TEZ
15,1098.0,385.0,42.0,671.0,0.05890603085553997,0.03825136612021858,0.9016393442622951,34,0.42424242424242425,TEZ
16,1102.0,389.0,42.0,671.0,0.05890603085553997,0.038112522686025406,0.9025522041763341,34,0.4545454545454545,TEZ
17,1104.0,393.0,40.0,671.0,0.05625879043600562,0.036231884057971016,0.9076212471131639,34,0.4848484848484849,TEZ
18,1104.0,393.0,40.0,671.0,0.05625879043600562,0.036231884057971016,0.9076212471131639,34,0.5151515151515151,TEZ
19,1104.0,393.0,40.0,671.0,0.05625879043600562,0.036231884057971016,0.9076212471131639,34,0.5454545454545454,TEZ
