Bug,Releases Slept,Project
SYNCOPE-1354,0,SYNCOPE
SYNCOPE-1250,0,SYNCOPE
SYNCOPE-1247,0,SYNCOPE
SYNCOPE-999,1,SYNCOPE
SYNCOPE-1223,0,SYNCOPE
SYNCOPE-504,1,SYNCOPE
SYNCOPE-1170,14,SYNCOPE
SYNCOPE-1222,0,SYNCOPE
SYNCOPE-1350,0,SYNCOPE
SYNCOPE-351,0,SYNCOPE
SYNCOPE-353,0,SYNCOPE
SYNCOPE-354,1,SYNCOPE
SYNCOPE-357,1,SYNCOPE
SYNCOPE-356,0,SYNCOPE
SYNCOPE-358,0,SYNCOPE
SYNCOPE-269,1,SYNCOPE
SYNCOPE-1373,1,SYNCOPE
SYNCOPE-1419,0,SYNCOPE
SYNCOPE-1244,4,SYNCOPE
SYNCOPE-1,15,SYNCOPE
SYNCOPE-741,0,SYNCOPE
SYNCOPE-888,0,SYNCOPE
SYNCOPE-363,1,SYNCOPE
SYNCOPE-375,0,SYNCOPE
SYNCOPE-900,3,SYNCOPE
SYNCOPE-1205,0,SYNCOPE
SYNCOPE-905,0,SYNCOPE
SYNCOPE-907,0,SYNCOPE
SYNCOPE-908,0,SYNCOPE
SYNCOPE-1016,0,SYNCOPE
SYNCOPE-965,1,SYNCOPE
SYNCOPE-531,0,SYNCOPE
SYNCOPE-863,2,SYNCOPE
SYNCOPE-825,0,SYNCOPE
SYNCOPE-823,0,SYNCOPE
SYNCOPE-846,6,SYNCOPE
SYNCOPE-1062,0,SYNCOPE
SYNCOPE-1060,0,SYNCOPE
SYNCOPE-638,0,SYNCOPE
SYNCOPE-639,0,SYNCOPE
SYNCOPE-1342,0,SYNCOPE
SYNCOPE-1343,0,SYNCOPE
SYNCOPE-1340,0,SYNCOPE
SYNCOPE-1346,0,SYNCOPE
SYNCOPE-349,6,SYNCOPE
SYNCOPE-737,1,SYNCOPE
SYNCOPE-735,0,SYNCOPE
SYNCOPE-734,1,SYNCOPE
SYNCOPE-730,0,SYNCOPE
SYNCOPE-1425,0,SYNCOPE
SYNCOPE-738,5,SYNCOPE
SYNCOPE-937,0,SYNCOPE
SYNCOPE-930,1,SYNCOPE
SYNCOPE-574,0,SYNCOPE
SYNCOPE-1214,0,SYNCOPE
SYNCOPE-527,0,SYNCOPE
SYNCOPE-1216,8,SYNCOPE
SYNCOPE-1210,3,SYNCOPE
SYNCOPE-1213,0,SYNCOPE
SYNCOPE-946,0,SYNCOPE
SYNCOPE-1199,2,SYNCOPE
SYNCOPE-1051,0,SYNCOPE
SYNCOPE-404,4,SYNCOPE
SYNCOPE-1357,0,SYNCOPE
SYNCOPE-1356,0,SYNCOPE
SYNCOPE-400,2,SYNCOPE
SYNCOPE-1352,0,SYNCOPE
SYNCOPE-928,14,SYNCOPE
SYNCOPE-341,0,SYNCOPE
SYNCOPE-1358,0,SYNCOPE
SYNCOPE-332,1,SYNCOPE
SYNCOPE-336,7,SYNCOPE
SYNCOPE-923,0,SYNCOPE
SYNCOPE-643,4,SYNCOPE
SYNCOPE-484,0,SYNCOPE
SYNCOPE-641,0,SYNCOPE
SYNCOPE-647,0,SYNCOPE
SYNCOPE-729,0,SYNCOPE
SYNCOPE-644,0,SYNCOPE
TAP5-649,4,TAP5
TAP5-648,3,TAP5
TAP5-644,1,TAP5
TAP5-130,9,TAP5
TAP5-641,1,TAP5
TAP5-136,1,TAP5
TAP5-135,1,TAP5
TAP5-524,3,TAP5
TAP5-520,1,TAP5
TAP5-1549,1,TAP5
TAP5-2424,1,TAP5
TAP5-1339,5,TAP5
TAP5-132,1,TAP5
TAP5-1331,5,TAP5
TAP5-1330,1,TAP5
TAP5-1332,0,TAP5
TAP5-1334,0,TAP5
TAP5-1336,6,TAP5
TAP5-640,1,TAP5
TAP5-821,11,TAP5
TAP5-1729,2,TAP5
TAP5-1154,0,TAP5
TAP5-1848,0,TAP5
TAP5-856,2,TAP5
TAP5-1658,29,TAP5
TAP5-1983,3,TAP5
TAP5-1981,64,TAP5
TAP5-1599,10,TAP5
TAP5-1984,14,TAP5
TAP5-290,1,TAP5
TAP5-1383,1,TAP5
TAP5-225,1,TAP5
TAP5-224,1,TAP5
TAP5-1938,0,TAP5
TAP5-1937,5,TAP5
TAP5-1935,0,TAP5
TAP5-1934,46,TAP5
TAP5-1933,3,TAP5
TAP5-1900,45,TAP5
TAP5-2268,51,TAP5
TAP5-2269,38,TAP5
TAP5-1277,24,TAP5
TAP5-1374,0,TAP5
TAP5-962,26,TAP5
TAP5-1372,0,TAP5
TAP5-457,0,TAP5
TAP5-598,2,TAP5
TAP5-773,59,TAP5
TAP5-578,0,TAP5
TAP5-573,0,TAP5
TAP5-571,3,TAP5
TAP5-1486,1,TAP5
TAP5-1802,35,TAP5
TAP5-2008,0,TAP5
TAP5-2004,4,TAP5
TAP5-818,3,TAP5
TAP5-1613,2,TAP5
TAP5-378,1,TAP5
TAP5-256,1,TAP5
TAP5-253,1,TAP5
TAP5-258,1,TAP5
TAP5-2130,73,TAP5
TAP5-615,1,TAP5
TAP5-921,4,TAP5
TAP5-1100,2,TAP5
TAP5-403,0,TAP5
TAP5-402,1,TAP5
TAP5-1979,3,TAP5
TAP5-407,5,TAP5
TAP5-1973,44,TAP5
TAP5-408,5,TAP5
TAP5-1977,3,TAP5
TAP5-1976,1,TAP5
TAP5-2180,16,TAP5
TAP5-1031,18,TAP5
TAP5-105,1,TAP5
TAP5-537,0,TAP5
TAP5-535,0,TAP5
TAP5-765,1,TAP5
TAP5-373,0,TAP5
TAP5-1475,14,TAP5
TAP5-2452,6,TAP5
TAP5-2458,10,TAP5
TAP5-1241,4,TAP5
TAP5-747,0,TAP5
TAP5-622,4,TAP5
TAP5-621,0,TAP5
TAP5-748,0,TAP5
TAP5-749,0,TAP5
TAP5-2179,23,TAP5
TAP5-2073,11,TAP5
TAP5-2071,1,TAP5
TAP5-964,26,TAP5
TAP5-961,2,TAP5
TAP5-841,86,TAP5
TAP5-2588,6,TAP5
TAP5-1788,5,TAP5
TAP5-845,7,TAP5
TAP5-2582,3,TAP5
TAP5-1787,0,TAP5
TAP5-2585,3,TAP5
TAP5-1668,50,TAP5
TAP5-284,1,TAP5
TAP5-283,1,TAP5
TAP5-211,0,TAP5
TAP5-922,8,TAP5
TAP5-10,1,TAP5
TAP5-1926,17,TAP5
TAP5-2499,18,TAP5
TAP5-1929,0,TAP5
TAP5-1535,2,TAP5
TAP5-2256,27,TAP5
TAP5-1369,4,TAP5
TAP5-788,6,TAP5
TAP5-666,0,TAP5
TAP5-660,4,TAP5
TAP5-1408,4,TAP5
TAP5-2406,44,TAP5
TAP5-2030,41,TAP5
TAP5-1813,69,TAP5
TAP5-719,0,TAP5
TAP5-1741,0,TAP5
TAP5-711,0,TAP5
TAP5-1744,36,TAP5
TAP5-715,1,TAP5
TAP5-714,0,TAP5
TAP5-1791,1,TAP5
TAP5-1862,59,TAP5
TAP5-2101,42,TAP5
TAP5-2100,41,TAP5
TAP5-1868,1,TAP5
TAP5-937,11,TAP5
TAP5-1964,0,TAP5
TAP5-1963,0,TAP5
TAP5-830,1,TAP5
TAP5-1004,3,TAP5
TAP5-326,15,TAP5
TAP5-986,16,TAP5
TAP5-834,6,TAP5
TAP5-119,1,TAP5
TAP5-505,0,TAP5
TAP5-1563,14,TAP5
TAP5-1569,47,TAP5
TAP5-2449,9,TAP5
TAP5-1254,19,TAP5
TAP5-1251,11,TAP5
TAP5-616,0,TAP5
TAP5-613,4,TAP5
TAP5-610,1,TAP5
TAP5-1822,16,TAP5
TAP5-1672,65,TAP5
TAP5-1770,4,TAP5
TAP5-875,8,TAP5
TAP5-871,2,TAP5
TAP5-272,15,TAP5
TAP5-279,1,TAP5
TAP5-1632,2,TAP5
TAP5-1689,81,TAP5
TAP5-385,1,TAP5
TAP5-1483,36,TAP5
TAP5-1950,2,TAP5
TAP5-1952,2,TAP5
TAP5-1527,1,TAP5
TAP5-470,0,TAP5
TAP5-1054,2,TAP5
TAP5-736,60,TAP5
TAP5-374,6,TAP5
TAP5-128,15,TAP5
TAP5-796,0,TAP5
